year_th,name_n,province_n_th,product_amt,product_ratio,harvested_area,product_per_harvested_area,
2559,ลิ้นจี่,นครราชสีมา,56,0.0017,197,284.26,
2559,ลำไย,หนองคาย,287,4.0E-4,822,349.15,
2559,ยางพารา,กำแพงเพชร,3131,7.0E-4,20228,154.79,
2559,ลำไย,กำแพงเพชร,1982,0.0026,6000,330.33,
2559,ยางพารา,ขอนแก่น,11082,0.0026,60690,182.6,
2559,ลำไย,อุบลราชธานี,212,3.0E-4,998,212.42,
2559,ยางพารา,อุบลราชธานี,65816,0.0152,359220,183.22,
2559,ลำไย,อุดรธานี,299,4.0E-4,1339,223.3,
2559,ยางพารา,อุดรธานี,77825,0.0179,372836,208.74,
2559,ยางพารา,สุโขทัย,2739,6.0E-4,21175,129.35,
2559,ยางพารา,สุพรรณบุรี,205,0,1440,142.36,
2559,ลำไย,สุโขทัย,351,5.0E-4,1293,271.46,
2559,ยางพารา,นราธิวาส,201564,0.0464,823691,244.71,
2559,ลำไย,สุพรรณบุรี,205,3.0E-4,488,420.08,
2558,ลำไย,นครปฐม,898,0.001,739,1215.16,
2558,ยางพารา,แพร่,1414,3.0E-4,10825,130.62,
2558,ยางพารา,หนองคาย,45283,0.0103,210602,215.02,
2558,กระเทียม,นครราชสีมา,34,5.0E-4,67,507.46,
2558,ลำไย,แพร่,2094,0.0023,4962,422.01,
2558,ลิ้นจี่,แพร่,94,0.0017,431,218.1,
2558,กระเทียม,แพร่,112,0.0015,257,435.8,
2558,ลิ้นจี่,นครราชสีมา,62,0.0011,202,306.93,
2558,ลำไย,นครราชสีมา,635,7.0E-4,1101,576.75,
2558,ยางพารา,สระบุรี,136,0,848,160.38,
2558,ยางพารา,สุโขทัย,2452,6.0E-4,19423,126.24,
2558,ลำไย,สุโขทัย,717,8.0E-4,1381,519.19,
2558,ยางพารา,นครราชสีมา,4263,0.001,27007,157.85,
2558,ลิ้นจี่,หนองคาย,7,1.0E-4,47,148.94,
2558,ยางพารา,พิษณุโลก,15639,0.0035,119528,130.84,
2558,ยางพารา,สุพรรณบุรี,200,0,1440,138.89,
2558,ลำไย,สุพรรณบุรี,294,3.0E-4,537,547.49,
2558,ลำไย,พิษณุโลก,1521,0.0017,3828,397.34,
2558,ยางพารา,นราธิวาส,199611,0.0452,826563,241.5,
2558,ลำไย,หนองคาย,407,4.0E-4,822,495.13,
2558,ยางพารา,ราชบุรี,1211,3.0E-4,7200,168.19,
2558,ลิ้นจี่,ราชบุรี,75,0.0013,550,136.36,
2558,ยางพารา,อุดรธานี,72538,0.0164,357784,202.74,
2558,ลิ้นจี่,เลย,661,0.0118,2217,298.15,
2558,ลำไย,เลย,13175,0.0144,20077,656.22,
2558,ยางพารา,อุบลราชธานี,58201,0.0132,345513,168.45,
2558,ลำไย,อุบลราชธานี,536,6.0E-4,1025,522.93,
2558,ยางพารา,เลย,107894,0.0244,496589,217.27,
2558,ยางพารา,ขอนแก่น,10518,0.0024,58769,178.97,
2558,ยางพารา,กำแพงเพชร,1457,3.0E-4,11389,127.93,
2558,ลำไย,กำแพงเพชร,2957,0.0032,6431,459.8,
2558,ยางพารา,ตาก,971,2.0E-4,6849,141.77,
2558,ลำไย,ตาก,11056,0.0121,19318,572.32,
2558,กระเทียม,ตาก,3223,0.0438,4292,750.93,
2558,ลิ้นจี่,ตาก,8,1.0E-4,41,195.12,
2558,ยางพารา,ตรัง,317466,0.0719,1226348,258.87,
2558,ลิ้นจี่,สมุทรสงคราม,4599,0.0822,7197,639.02,
2558,ลำไย,อุดรธานี,487,5.0E-4,1411,345.15,
2557,ลำไย,พิษณุโลก,2622,0.0025,5582,469.72,
2557,ยางพารา,อุดรธานี,57714,0.0131,283714,203.42,
2557,ยางพารา,หนองคาย,30915,0.007,166166,186.05,
2557,ยางพารา,นราธิวาส,227836,0.0516,876960,259.8,
2557,ยางพารา,นครราชสีมา,3851,9.0E-4,21326,180.58,
2557,ยางพารา,สระบุรี,94,0,647,145.29,
2557,ยางพารา,ราชบุรี,1508,3.0E-4,9942,151.68,
2557,ลิ้นจี่,ราชบุรี,78,0.0012,550,141.82,
2557,ลำไย,สุพรรณบุรี,400,4.0E-4,714,560.22,
2557,ยางพารา,พิษณุโลก,13764,0.0031,86704,158.75,
2557,ลำไย,นครราชสีมา,930,9.0E-4,1367,680.32,
2557,ลิ้นจี่,หนองคาย,8,1.0E-4,47,170.21,
2557,ลำไย,อุดรธานี,539,5.0E-4,1525,353.44,
2557,ลิ้นจี่,นครราชสีมา,72,0.0011,207,347.83,
2557,ยางพารา,ตรัง,344965,0.0781,1300514,265.25,
2557,ยางพารา,อุบลราชธานี,51473,0.0117,286143,179.89,
2557,ยางพารา,สุโขทัย,3209,7.0E-4,22907,140.09,
2557,ลำไย,อุบลราชธานี,544,5.0E-4,1025,530.73,
2557,ลำไย,นครปฐม,1131,0.0011,689,1641.51,
2557,ลิ้นจี่,เลย,748,0.0114,2302,324.93,
2557,ลำไย,กำแพงเพชร,4418,0.0043,9263,476.95,
2557,ยางพารา,กำแพงเพชร,3099,7.0E-4,18745,165.32,
2557,ยางพารา,เลย,77926,0.0176,389350,200.14,
2557,ลิ้นจี่,สมุทรสงคราม,3543,0.0541,7305,485.01,
2557,ลำไย,เลย,13875,0.0134,20698,670.35,
2557,ลำไย,หนองคาย,407,4.0E-4,799,509.39,
2557,ลำไย,สุโขทัย,898,9.0E-4,1587,565.85,
2557,ลิ้นจี่,แพร่,100,0.0015,394,253.81,
2557,ลิ้นจี่,ตาก,9,1.0E-4,41,219.51,
2557,ยางพารา,แพร่,1189,3.0E-4,8723,136.31,
2557,กระเทียม,ตาก,3328,0.0462,4256,781.95,
2557,ยางพารา,สุพรรณบุรี,302,1.0E-4,1915,157.7,
2557,ยางพารา,ตาก,1041,2.0E-4,7083,146.97,
2557,กระเทียม,แพร่,345,0.0048,502,687.25,
2557,ยางพารา,ขอนแก่น,8200,0.0019,50686,161.78,
2557,ลำไย,แพร่,2824,0.0027,5693,496.05,
2557,ลำไย,ตาก,14820,0.0143,19914,744.2,
2562,ยางพารา,ตรัง,340626,0.0679,1280550,266,
2562,กระเทียม,ตาก,2619,0.0342,3421,765.57,
2562,ยางพารา,ตาก,1855,4.0E-4,11245,164.96,
2562,ยางพารา,อุดรธานี,117147,0.0233,522979,224,
2562,ยางพารา,อุบลราชธานี,98205,0.0196,446388,220,
2562,ลำไย,อุบลราชธานี,538,5.0E-4,1089,494.03,
2562,ลำไย,กำแพงเพชร,4243,0.004,6672,635.94,
2562,ยางพารา,ขอนแก่น,14281,0.0028,75961,188,
2562,ลำไย,อุดรธานี,436,4.0E-4,1253,347.96,
2562,ยางพารา,กำแพงเพชร,3691,7.0E-4,22104,166.98,
2562,ลิ้นจี่,สมุทรสงคราม,1356,0.0305,5256,257.99,
2562,ยางพารา,พิษณุโลก,45891,0.0091,268366,171,
2562,ลำไย,พิษณุโลก,1331,0.0012,2694,494.06,
2562,กระเทียม,แพร่,199,0.0026,374,532.09,
2562,ยางพารา,แพร่,3329,7.0E-4,22196,149.98,
